#separator:Pipe
#html:true
#tags:Go Pointers Structs Arrays Slices Maps Functions Closures
#notetype:Basic
#deck:Go Tour More Types

# Pointers
In Go, how do you declare a pointer to an int?|`var p *int`
What does the `&` operator do in Go?|Takes the address of a variable; creates a pointer to it
What does the `*` operator do when applied to a pointer?|Dereferences the pointer; accesses the value it points to
Can you modify a variable through a pointer? Write code that sets `i` to 21 through pointer `p`.|`p := &i; *p = 21`
What is the relationship between a pointer and the variable it points to? Will modifying through the pointer affect the original?|Yes; `*p = value` modifies the original variable. The pointer and variable reference the same memory location.
True or False: `var p *int` initializes the pointer. What is the zero value?|False; the zero value is `nil`. The pointer must be assigned before dereferencing.

# Structs &amp; Struct Literals
How do you define a struct type in Go?|`type StructName struct {<br/>Field1 TypeA<br/>Field2 TypeB<br/>}`
How do you create a struct instance with positional values?|`v := Vertex{1, 2}` — values in field order
How do you create a struct instance using named fields?|`v := Vertex{X: 1, Y: 2}` or mix: `Vertex{X: 1}` (Y defaults to zero)
When you create a struct with `Vertex{}`, what happens to the fields?|All fields are initialized to their zero values (0 for int, empty string for string, false for bool, etc.)
Can you take a pointer to a struct literal?|Yes: `p := &Vertex{1, 2}` — p has type `*Vertex`
How do you access and modify struct fields through a pointer in Go? Example: `p.X = 10`|Go automatically dereferences; just use `p.X = 10`. Equivalent to `(*p).X = 10` but Go handles it.

# Arrays
Declare an array of 2 strings with no initialization.|`var a [2]string`
What makes arrays different from slices in Go?|Arrays have a **fixed length** that is **part of the type**. `[2]int` and `[3]int` are different types. Slices are dynamic.
Declare and initialize an array of 6 ints with values [2, 3, 5, 7, 11, 13]|`primes := [6]int{2, 3, 5, 7, 11, 13}` or `arr := [...]int{2, 3, 5, 7, 11, 13}`

# Slices: Basics &amp; Syntax
Declare a slice of ints with no length specified.|`var s []int` or `s := []int{}`
How do you slice an array or slice? Give the syntax for slicing `arr[1:4]`.|`arr[1:4]` returns elements from index 1 up to (but not including) index 4. Both bounds are optional: `arr[:4]`, `arr[1:]`, `arr[:]`
What are the default values for slice bounds?<br/>- Low: |0 (start of the slice/array)
What are the default values for slice bounds?<br/>- High: |len(s) (end of the slice/array)
When you slice an array to create a slice, what is the relationship?|The slice references the underlying array. Modifying slice elements modifies the array.
Two slices from the same array share the same underlying data. Will modifying one slice's element affect the other?|Yes, if the slices overlap. Both see the modified value in the underlying array.

# Slices: Length &amp; Capacity
